Title,Description,DueDate,Status,AssignedTo
fghkfh,hjkhkh,2025-02-20,Completed,hot
make personal assistent,sgsgs,2025-02-16,Completed,
adafd,,2025-02-27,Not Started,hot
Follow Up,Client callback,,Pending,
make clothes,,tomorrow,on going,mohit
Complete Report,Finish the quarterly report,2025-03-15,on going,None
looting,bank,2023-03-20,on going,akshit
jumpming,,24-12,on going,jasmeet
coding,,24-12,on going,Mohit
Finish project,,2025-02-18,on going,None
Task assign to mohit,,,on going,mohit
